FirstName,LastName,X Handle,St/Dis,Party,Role,Past or current?,username
Jennifer,Wexton,RepWexton,,D,Representative,Past,RepWexton
Tom,Cole,TomColeOK04,OK04,R,Representative,Current,TomColeOK04
Lois,Frankel,RepLoisFrankel,FL22,D,Representative,Current,RepLoisFrankel
Jill,Tokuda,RepJillTokuda,HI02,D,Representative,Current,RepJillTokuda
Michael,Waltz,michaelgwaltz,,R,Representative,Past,michaelgwaltz
Terri,Sewell,RepTerriSewell,AL07,D,Representative,Current,RepTerriSewell
Jeff,Hurd,RepJeffHurd,CO03,R,Representative,Current,RepJeffHurd
Sheri,Biggs,RepSheriBiggs,SC03,R,Representative,Current,RepSheriBiggs
Dan,Crenshaw,RepDanCrenshaw,TX02,R,Representative,Current,RepDanCrenshaw
Tracey,Mann,RepMann,KS01,R,Representative,Current,RepMann
Carolyn,Bourdeaux,Carolyn4GA7,,D,Representative,Past,Carolyn4GA7
Kweisi,Mfume,RepKweisiMfume,MD07,D,Representative,Current,RepKweisiMfume
Mark,Green,RepMarkGreen,,R,Representative,Past,RepMarkGreen
Dave,Min,CongressMin,CA47,D,Representative,Current,CongressMin
Liz,Cheney,Liz_Cheney,,R,Representative,Past,Liz_Cheney
Jason,Crow,RepJasonCrow,CO06,D,Representative,Current,RepJasonCrow
Tom,McClintock,RepMcClintock,CA05,R,Representative,Current,RepMcClintock
Abe,Hamadeh,RepAbeHamadeh,AZ08,R,Representative,Current,RepAbeHamadeh
Byron,Donalds,RepDonaldsPress,FL19,R,Representative,Current,RepDonaldsPress
Mary,Miller,RepMaryMiller,IL15,R,Representative,Current,RepMaryMiller
Herb,Conaway,RepHerbConaway,NJ03,D,Representative,Current,RepHerbConaway
Joe,Wilson,RepJoeWilson,SC02,R,Representative,Current,RepJoeWilson
Thomas,Tiffany,RepTiffany,WI07,R,Representative,Current,RepTiffany
Cathy,Rodgers,cathymcmorris,,R,Representative,Past,cathymcmorris
Kristen,McDonald Rivet,repkmr,MI08,D,Representative,Current,repkmr
Joe,Courtney,RepJoeCourtney,CT02,D,Representative,Current,RepJoeCourtney
Mayra,Flores,MayraFlores4TX,,R,Representative,Past,MayraFlores4TX
Stephanie,Murphy,RepStephMurphy,,D,Representative,Past,RepStephMurphy
Ted,Lieu,RepTedLieu,CA36,D,Representative,Current,RepTedLieu
James,Comer,RepJamesComer,KY01,R,Representative,Current,RepJamesComer
Johnny,Olszewski,RepJohnnyO,MD02,D,Representative,Current,RepJohnnyO
Emilia,Sykes,RepEmiliaSykes,OH13,D,Representative,Current,RepEmiliaSykes
Kay,Granger,GrangerCampaign,,R,Representative,Past,GrangerCampaign
Mary,Peltola,MaryPeltola,,R,Representative,Past,MaryPeltola
Teresa,Leger Fernandez,RepTeresaLF,NM03,D,Representative,Current,RepTeresaLF
Sean,Casten,RepCasten,IL06,D,Representative,Current,RepCasten
Brian,Babin,RepBrianBabin,TX36,R,Representative,Current,RepBrianBabin
Jonathan,Jackson,rep_jackson,IL01,D,Representative,Current,rep_jackson
Mark,Amodei,MarkAmodeiNV2,NV02,R,Representative,Current,MarkAmodeiNV2
Madeleine,Dean,RepDean,PA04,D,Representative,Current,RepDean
Chuck,Edwards,RepChuckEdwards,NC11,R,Representative,Current,RepChuckEdwards
Kim,Schrier,RepKimSchrier,WA08,D,Representative,Current,RepKimSchrier
Jefferson,Shreve,RepShreve,IN06,R,Representative,Current,RepShreve
John,James,RepJames,MI10,R,Representative,Current,RepJames
Brett,Guthrie,RepGuthrie,KY02,R,Representative,Current,RepGuthrie
Adriano,Espaillat,RepEspaillat,NY13,D,Representative,Current,RepEspaillat
Patrick,McHenry,PatrickMcHenry,,R,Representative,Past,PatrickMcHenry
Steven,Palazzo,StevenPalazzo,,R,Representative,Past,StevenPalazzo
Mike,Haridopolos,RepHaridopolos,FL08,R,Representative,Current,RepHaridopolos
Riley,Moore,RepRileyMoore,WV02,R,Representative,Current,RepRileyMoore
Brad,Wenstrup,RepBradWenstrup,,R,Representative,Past,RepBradWenstrup
Gus,Bilirakis,RepGusBilirakis,FL12,R,Representative,Current,RepGusBilirakis
Josh,Gottheimer,RepJoshG,NJ05,D,Representative,Current,RepJoshG
Daniel,Goldman,RepDanGoldman,NY10,D,Representative,Current,RepDanGoldman
Brittany,Pettersen,RepPettersen,CO07,D,Representative,Current,RepPettersen
Glenn,Thompson,CongressmanGT,PA15,R,Representative,Current,CongressmanGT
Julia,Letlow,repjulialetlow,LA05,R,Representative,Current,repjulialetlow
Jasmine,Crockett,RepJasmine,TX30,D,Representative,Current,RepJasmine
