FirstName,LastName,X Handle,St/Dis,Party,Role,Past or current?
Jennifer,Wexton,RepWexton,,D,Representative,Past
Tom,Cole,TomColeOK04,OK04,R,Representative,Current
Lois,Frankel,RepLoisFrankel,FL22,D,Representative,Current
Jill,Tokuda,RepJillTokuda,HI02,D,Representative,Current
Michael,Waltz,michaelgwaltz,,R,Representative,Past
Terri,Sewell,RepTerriSewell,AL07,D,Representative,Current
Jeff,Hurd,RepJeffHurd,CO03,R,Representative,Current
Sheri,Biggs,RepSheriBiggs,SC03,R,Representative,Current
Dan,Crenshaw,RepDanCrenshaw,TX02,R,Representative,Current
Tracey,Mann,RepMann,KS01,R,Representative,Current
Carolyn,Bourdeaux,Carolyn4GA7,,D,Representative,Past
Kweisi,Mfume,RepKweisiMfume,MD07,D,Representative,Current
Mark,Green,RepMarkGreen,,R,Representative,Past
Dave,Min,CongressMin,CA47,D,Representative,Current
Liz,Cheney,Liz_Cheney,,R,Representative,Past
Jason,Crow,RepJasonCrow,CO06,D,Representative,Current
Tom,McClintock,RepMcClintock,CA05,R,Representative,Current
Abe,Hamadeh,RepAbeHamadeh,AZ08,R,Representative,Current
Byron,Donalds,RepDonaldsPress,FL19,R,Representative,Current
Mary,Miller,RepMaryMiller,IL15,R,Representative,Current
Herb,Conaway,RepHerbConaway,NJ03,D,Representative,Current
Joe,Wilson,RepJoeWilson,SC02,R,Representative,Current
Thomas,Tiffany,RepTiffany,WI07,R,Representative,Current
Cathy,Rodgers,cathymcmorris,,R,Representative,Past
Kristen,McDonald Rivet,repkmr,MI08,D,Representative,Current
Joe,Courtney,RepJoeCourtney,CT02,D,Representative,Current
Mayra,Flores,MayraFlores4TX,,R,Representative,Past
Stephanie,Murphy,RepStephMurphy,,D,Representative,Past
Ted,Lieu,RepTedLieu,CA36,D,Representative,Current
James,Comer,RepJamesComer,KY01,R,Representative,Current
Johnny,Olszewski,RepJohnnyO,MD02,D,Representative,Current
Emilia,Sykes,RepEmiliaSykes,OH13,D,Representative,Current
Kay,Granger,GrangerCampaign,,R,Representative,Past
Mary,Peltola,MaryPeltola,,R,Representative,Past
Teresa,Leger Fernandez,RepTeresaLF,NM03,D,Representative,Current
Sean,Casten,RepCasten,IL06,D,Representative,Current
Brian,Babin,RepBrianBabin,TX36,R,Representative,Current
Jonathan,Jackson,rep_jackson,IL01,D,Representative,Current
Mark,Amodei,MarkAmodeiNV2,NV02,R,Representative,Current
Madeleine,Dean,RepDean,PA04,D,Representative,Current
Chuck,Edwards,RepChuckEdwards,NC11,R,Representative,Current
Kim,Schrier,RepKimSchrier,WA08,D,Representative,Current
Jefferson,Shreve,RepShreve,IN06,R,Representative,Current
John,James,RepJames,MI10,R,Representative,Current
Brett,Guthrie,RepGuthrie,KY02,R,Representative,Current
Adriano,Espaillat,RepEspaillat,NY13,D,Representative,Current
Patrick,McHenry,PatrickMcHenry,,R,Representative,Past
Steven,Palazzo,StevenPalazzo,,R,Representative,Past
Mike,Haridopolos,RepHaridopolos,FL08,R,Representative,Current
Riley,Moore,RepRileyMoore,WV02,R,Representative,Current
Brad,Wenstrup,RepBradWenstrup,,R,Representative,Past
Gus,Bilirakis,RepGusBilirakis,FL12,R,Representative,Current
Josh,Gottheimer,RepJoshG,NJ05,D,Representative,Current
Daniel,Goldman,RepDanGoldman,NY10,D,Representative,Current
Brittany,Pettersen,RepPettersen,CO07,D,Representative,Current
Glenn,Thompson,CongressmanGT,PA15,R,Representative,Current
Julia,Letlow,repjulialetlow,LA05,R,Representative,Current
Jasmine,Crockett,RepJasmine,TX30,D,Representative,Current
Julia,Brownley,RepBrownley,CA26,D,Representative,Current
Marjorie,Greene,mtgreenee,,R,Representative,Past
Jeff,Crank,RepJeffCrank,CO05,R,Representative,Current
Pete,Aguilar,RepPeteAguilar,CA33,D,Representative,Current
Tony,Cárdenas,RepCardenas,,D,Representative,Past
Derek,Tran,RepDerekTranCA,CA45,D,Representative,Current
David,Joyce,RepDaveJoyce,OH14,R,Representative,Current
Kathleen,Rice,RepKathleenRice,,D,Representative,Past
Shomari,Figures,repscfigures,AL02,D,Representative,Current
Elijah,Crane,RepEliCrane,AZ02,R,Representative,Current
Kimberlyn,King-Hinds,RepKimKingHinds,MP00,R,Representative,Current
Adam,Kinzinger,AdamKinzinger,,R,Representative,Past
Mike,Quigley,RepMikeQuigley,IL05,D,Representative,Current
Don,Bacon,RepDonBacon,NE02,R,Representative,Current
Dina,Titus,repdinatitus,NV01,D,Representative,Current
Bruce,Westerman,RepWesterman,AR04,R,Representative,Current
Donald,Norcross,DonaldNorcross,NJ01,D,Representative,Current
Chip,Roy,RepChipRoy,TX21,R,Representative,Current
