id,conversation_id,text
1,1940143080637964748,"What did the American people buy with the $4 trillion in added debt created by the Republican tax bill? 

Massive tax goodies for billionaires at the cost of 17 million Americans losing health care coverage and more hungry school children. https://t.co/yOSyyTZzcO"
2,1943326345020543243,"☑️ FACT CHECK @derrickvanorden 

The bill you voted for includes massive cuts that threaten BadgerCare coverage for thousands of your own constituents and Wisconsinites statewide."
3,1947023780661870938,"Republicans cruel bill adds bureaucratic red tape to Medicaid eligibility, which is designed to force people off their health coverage and fund their tax cuts for the wealthy. https://t.co/37YaNW1FMy"
4,1950968083343921376,"Republicans could have extended the ACA credits that keep private health insurance premiums affordable in their big tax giveaway to billionaires and corporations. 

But they didn’t.

Now health care premiums are set to spike.

https://t.co/VRsyXyTtOW"
5,1965422998590292462,"Americans are being crushed by Donald Trump’s reckless agenda.

On top of the largest cuts to Medicaid and Medicare in history, his tariffs are driving up insurance premiums, and it’s everyday Americans who pay the price. https://t.co/PQBIp2mFAj"
6,1971281035766968777,"235,000 Wisconsinites will have higher health care premiums if Republicans let ACA tax credits expire.

Coupled with their crippling cuts to BadgerCare, the entire Wisconsin GOP delegation have put the health care of their own constituents on the chopping block. https://t.co/VrXptQqYgz"
7,1972700023931412821,"Millions of Americans will see their insurance premiums rise if Republicans refuse to act. Some will lose health care altogether. 

Republicans must work with Democrats to avert this health care crisis. https://t.co/BjJaKl8cDF"
8,1978516340710178821,TFW you have $20 billion to give to Argentina but not to keep health insurance premiums low for 20 million Americans. https://t.co/FDF1RfiCn2
9,1979962465636036979,"Health care premiums for millions of Americans are going up as we speak.

But Republicans want to continue to play three card monte with the lives and livelihoods of the American people. https://t.co/AwNWEx4Raa"
10,1980732675720651214,"Donald Trump is avoiding dealing with the GOP health care crisis, leaving millions of Americans anxiously waiting to see how much their premiums rise.
 
But thankfully the White House renovation budget has not been impacted and work continues on the One Big, Beautiful Ballroom. https://t.co/1wWVvLm5VN"
11,1981751665632973254,"If Republicans allow ACA premiums to expire, the most vulnerable women are the ones who get priced out of health care. 

This #DVawarenssmonth, I’m calling on the GOP to prove their claims of being pro-women and children and keep millions of women insured. https://t.co/1PgbSOSMfv"
12,1983225985970401784,"🌬️Republicans are blowing us off as Americans are set to be blown away by rising insurance premiums November 1st.

House Democrats are in D.C. and calling on Speaker Johnson to bring Republicans back from vacation and come to the table for ALL of our constituents. https://t.co/7yuHaCczaE"
13,1983941243361980821,"This week my fellow Wisconsinite, Shana, testified about how the ACA premiums keep insurance affordable for her family.

Families like Shana’s nationwide are counting on Congress to act! House Republicans need to return to work keep their constituents health care affordable. https://t.co/kSllZYcSQn"
14,1984319162404257941,"While working families are seeing massive spikes in their insurance premiums and are going hungry from losing SNAP, Donald Trump continues to live in an HGTV episode focused on his marble bathroom renovations. https://t.co/BzvbRmpuIA"
15,1984699233086194041,"ACA insurance premiums are going up TODAY as open enrollment begins.

This is the result of Republican inaction. They’d rather keep the government closed than address their self-inflicted health care crisis. https://t.co/7KBhuhAeD4"
16,1990518045702562227,"The notion that costs are going down under Donald Trump is ludicrous. People aren’t stupid, they see their health care costs skyrocketing as 2026 premiums hit their mail boxes. https://t.co/SEAKmNXopj"
17,1995630764449497262,"Upon gaining a trifecta, Republicans acted to cut Medicaid for millions of Americans, and now they’re refusing to act to keep lower premiums for millions more.

Sicker, hungrier, poorer. That’s the GOP vision for working families, veterans, seniors and everyday Americans. https://t.co/RYblh1gsHu"
18,1997035233754206558,"Republicans have had 15 YEARS to show their work on healthcare and yet they remain stuck on “concepts of a plan.”

Meanwhile, millions of their own constituents have health insurance through the ACA and rely on the tax credits to keep premiums down. https://t.co/BWZ3JYUsPO"
19,1998800949779877897,"Republicans have had 15 years to come up with a health care plan of their own, and now with premiums set to soar for millions of Americans in a few weeks, they’ve landed on… “The consensus is we need to come up with something.”"
20,2006056050781237529,"Instead of acting to prevent health insurance premiums from skyrocketing, Republicans went home. https://t.co/pwdwVfdtvn"
21,1487149779813548032,"Tragically, substance abuse is a growing problem in Kentucky and the nation. To combat addiction, @LeaderMcConnell helped St. Claire Healthcare, which has a branch in Elliott County, receive funding to expand its treatment capabilities. #Bluegrass120
 
https://t.co/GNepblpYxP"
22,1492215059954774017,"Tragically, substance abuse is a growing problem in #Kentucky. Last year, @LeaderMcConnell helped direct $21.4 million to community mental health centers in the Commonwealth combatting addiction, including one serving Leslie County. #Bluegrass120
 
https://t.co/9PQY3XrkmY"
23,1494772968555229185,"In 2019, @LeaderMcConnell helped secure the largest federal grant in @universityofky’s history - $87 million for a Healing Communities study to help law enforcement and mental health professionals address the opioid epidemic. #Bluegrass120
https://t.co/8IiTWTiWil https://t.co/3HVKsVSHb9"
24,1894766338792374708,"Multi-cancer early detection screening will lead to better health outcomes and cost savings.

TRICARE’s coverage of these tests is a major win for service members and their families.

I’m proud to co-sponsor legislation to provide this same coverage to Medicare recipients."
25,1935039039347798397,"For far too long, America has faced a drug shortage that not only threatens patients’ health but poses a national security risk.

I am proud to join @SenGaryPeters in reintroducing the RAPID Reserve Act to end U.S. overreliance on China for access to essential medications. 
https://t.co/ZnTH0a098M"
26,1939471583241818597,"10/x Nobody is voting to take away Medicaid benefits from patients for whom Medicaid was designed to serve.
 
Senate Republicans are trying to slow the rate of exponential cost increases for a program we all agree must survive for future generations."
27,1973433037275930756,"Here’s what will continue, even during a shutdown:
✔️ Social Security, Medicare & VA hospitals & benefits
✔️ Emergency protective measures
✔️ The National Weather Service will continue to issue products, watches, & warnings to keep North Carolinians safe.
https://t.co/igHsspqkWj"
28,1973507064325386278,".@SenateDems voted to keep the government shut down again today.

Republicans are united, but Dems insist on holding troop pay, funding for rural hospitals, and basic government services hostage for $1.5 trillion in additional spending. #SchumerShutdown https://t.co/PmOlXbmt1B"
29,1978518543428653481,"Those seeking to renew or enroll in new flood insurance coverage through @FEMA are unable to do so.

Those seeking @USDA loans for rural homebuyers cannot have their applications processed.
https://t.co/8oyOxk7EhT"
30,1981721289900380259,"Senate Republicans want to lower the cost of healthcare to ensure Americans have access to high-quality care that they can afford.

But one thing is clear: doubling down on Dems’ failed policies isn’t the answer."
31,1999177611474305376,"Today, @SenateGOP put forth a responsible plan to lower healthcare costs—not by further enriching insurance companies—but by boosting choice for patients.

Democrats proved they have no plan to address the unaffordable & ripe-for-abuse healthcare system they created & propped up."
32,1999217468859187459,"Healthcare costs have climbed to unsustainable rates because of bad policies like Obamacare.

@SenTedCruz & I are providing a solution for short-term health plans by enhancing access to lower premiums & transparently making healthcare more affordable & flexible for Americans. https://t.co/yzd9YmxYxt"
33,2001336479751299121,"By removing unnecessary regulatory barriers, we are increasing competition for these life-saving medicines and reducing the time it takes for patients to gain access to safe, proven therapies at lower costs.
https://t.co/NCVwSZSs9q"
34,1974283797983269135,"Absolutely bananas that “we gotta build more houses” is used as the basis of an attack ad.

A generational policy divide is opening and only one side is growing as a voting block. Kiss social security (and maybe Medicare) goodbye if we don’t build more housing."
35,1988090692120506526,@LPDonovan At least healthcare costs are solved https://t.co/oFOXNtNwEW
36,1992074897007530126,"@Shahryar That (which is a partial subsidy of her ACA premium through DC Health Link) ends when she leaves bc she is under 62, and to qualify for FEHB she must be eligible to receive an immediate annuity. Not a retirement ‘benefit’ in her case."
37,1478072598709903365,"Barely a year ago, Twitter was censoring medical experts that said the same thing. Big Tech’s hypocrisy is catching up to them. https://t.co/2blZcEUjgB"
38,1556271757484490753,"Democrats aren’t even pretending their bill to unleash the IRS, impose the Green New Deal, and kill medical innovation is anything but a partisan power play."
39,1630221397078286338,"We also won’t forget Facebook banned any mentions of the Wuhan lab leak theory, citing “consultations with leading health organizations, including the World Health Organization.”"
40,1666869746480951296,Biden's FTC is shafting cancer patients https://t.co/5ZVw6yx50u
41,1693089272297910597,San Diego County will be under a tropical storm warning for the first time in history. Be careful out there! https://t.co/pzgyRFblzo
42,1770239373637742938,What we need is a lot more media coverage of the Gold Star families from Afghanistan and the accountability they deserve.
43,1806358578162188419,"Fauci lied and the public health system wasn’t straight with the public. The damage they caused was immense.
 
The COVID vaccine didn’t stop the spread. And Biden’s Covid mandates kicked thousands out of our military. https://t.co/BlHEmEe0X1"
44,1930984886224953753,I already knew Democrats want us to give illegals free health care. https://t.co/RppHpGO9K9
45,1941188744683667808,"Can’t believe President “If you like your doctor, you can keep your doctor” is accusing anybody of lying about health care. https://t.co/aOCHHtEWZn"
46,1774917055138996706,"This afternoon, I met with @llbloodservices CEO John Miller and Marketing Manager Melinda Reed in Madison County. Thank you for providing lifesaving services for patients and healthcare facilities throughout West Tennessee."
47,1778517462561984605,"It was great to meet with members of the Independent Insurance Agents & Brokers of America (Big I), including TN Representative @RonTravis31, Chris Allison from Madison County, Portis Tanner from Obion County, and Richard Whitley from Shelby County. Thank you for your work supporting families and small businesses in West Tennessee."
48,1793279837223657550,It was great to meet with Ben Sanders from @FBITN in Washington. I appreciate you stopping by my office with @TeamAPCIA to discuss priorities for the insurance industry! https://t.co/bSBkfjkc2I
49,1798431799544045735,"It was great to meet with Tennessee members of @NAMIC, including @FBITN Executive Director Ben Sanders, in Washington. Thank you for stopping in to advocate for our state’s insurance industry. https://t.co/vhke9HyhVA"
50,1823435562675544416,"Thank you to the local healthcare leaders who attended a roundtable discussion today in Shelby County. I appreciate @west_cancer CEO Mitch Graves for organizing this important meeting. 

I am committed to ensuring you all have the resources and support you need to continue caring for patients across our community."
