FirstName,LastName,X Handle,St/Dis,Party,Role,Past or current?
Alma,Adams,@RepAdams,NC12,D,Representative,Current
Robert,Aderholt,@Robert_Aderholt,AL04,R,Representative,Current
Pete,Aguilar,@RepPeteAguilar,CA33,D,Representative,Current
Mark,Alford,@RepMarkAlford,MO04,R,Representative,Current
Rick,Allen,@RepRickAllen,GA12,R,Representative,Current
Gabe,Amo,@RepGabeAmo,RI01,D,Representative,Current
Mark,Amodei,@MarkAmodeiNV2,NV02,R,Representative,Current
Yassamin,Ansari,@RepYassAnsari,AZ03,D,Representative,Current
Jodey,Arrington,@RepArrington,TX19,R,Representative,Current
Jake,Auchincloss,@RepAuchincloss,MA04,D,Representative,Current
Brian,Babin,@RepBrianBabin,TX36,R,Representative,Current
Don,Bacon,@RepDonBacon,NE02,R,Representative,Current
James,Baird,@RepJimBaird,IN04,R,Representative,Current
Troy,Balderson,@RepBalderson,OH12,R,Representative,Current
Becca,Balint,@RepBeccaB,VT00,D,Representative,Current
Andy,Barr,@RepAndyBarr,KY06,R,Representative,Current
Nanette,Barragán,@RepBarragan,CA44,D,Representative,Current
Tom,Barrett,@RepTomBarrett,MI07,R,Representative,Current
Michael,Baumgartner,@RepBaumgartner,WA05,R,Representative,Current
Aaron,Bean,@RepAaronBean,FL04,R,Representative,Current
Joyce,Beatty,@RepBeatty,OH03,D,Representative,Current
Nick,Begich,@RepNickBegich,AK00,R,Representative,Current
Wesley,Bell,@RepWesleyBellMO,MO01,D,Representative,Current
Cliff,Bentz,@RepBentz,OR02,R,Representative,Current
Ami,Bera,@RepBera,CA06,D,Representative,Current
Jack,Bergman,@RepJackBergman,MI01,R,Representative,Current
Donald,Beyer,@RepDonBeyer,VA08,D,Representative,Current
Stephanie,Bice,@RepBice,OK05,R,Representative,Current
Andy,Biggs,@RepAndyBiggsAZ,AZ05,R,Representative,Current
Sheri,Biggs,@RepSheriBiggs,SC03,R,Representative,Current
Gus,Bilirakis,@RepGusBilirakis,FL12,R,Representative,Current
Sanford,Bishop,@SanfordBishop,GA02,D,Representative,Current
Lauren,Boebert,@RepBoebert,CO04,R,Representative,Current
Suzanne,Bonamici,@RepBonamici,OR01,D,Representative,Current
Mike,Bost,@RepBost,IL12,R,Representative,Current
Brendan,Boyle,@CongBoyle,PA02,D,Representative,Current
Josh,Brecheen,@RepBrecheen,OK02,R,Representative,Current
Robert,Bresnahan Jr.,@RepBresnahan,PA08,R,Representative,Current
Shontel,Brown,@RepShontelBrown,OH11,D,Representative,Current
Julia,Brownley,@RepBrownley,CA26,D,Representative,Current
Vern,Buchanan,@VernBuchanan,FL16,R,Representative,Current
Nikki,Budzinski,@RepNikkiB,IL13,D,Representative,Current
Tim,Burchett,@RepTimBurchett,TN02,R,Representative,Current
